Trainer,Multi?,Route,Combined Name,Pokemon 1,Move 1,Move 2,Move 3,Move 4,Pokemon 2,Move 1,Move 2,Move 3,Move 4,Pokemon 3,Move 1,Move 2,Move 3,Move 4,Pokemon 4,Move 1,Move 2,Move 3,Move 4,Pokemon 5,Move 1,Move 2,Move 3,Move 4,Pokemon 6,Move 1,Move 2,Move 3,Move 4,Double?,P1 Item,P1 Nature,P1 IV,P1 Lvl,P2 Item,P2 Nature,P2 IV,P2 Lvl,P3 Item,P3 Nature,P3 IV,P3 Lvl,P4 Item,P4 Nature,P4 IV,P4 Lvl,P5 Item,P5 Nature,P5 IV,P5 Lvl,P6 Item,P6 Nature,P6 IV,P6 Lvl
Youngster Calvin,FALSE,Route 102,Youngster Calvin - Route 102,Sentret,Assist,Quick Attack,,,Poochyena,Bite,Super Fang,Mud-Slap,Rock Smash,Zigzagoon,Swift,Sand-Attack,,,,,,,,,,,,,,,,,,FALSE,,Mild,0,6,,Lax,0,6,,Timid,0,6,,,,,,,,,,,,
Bug Catcher Rick,FALSE,Route 102,Bug Catcher Rick - Route 102,Caterpie,Tackle,,,,Wurmple,Tackle,Poison Sting,String Shot,,Kakuna,Iron Defense,Poison Sting,,,Cascoon,Iron Defense,Poison Sting,Tackle,,,,,,,,,,,,FALSE,Choice Band,Hasty,31,5,Poison Barb,Hardy,15,5,Berry Juice,Mild,31,5,Berry Juice,Impish,31,5,,,,,,,,
Lass Tiana,FALSE,Route 102,Lass Tiana - Route 102,Igglybuff,Present,,,,Sunkern,Mega Drain,Synthesis,Leech Seed,Protect,Togepi,Metronome,Softboiled,,,,,,,,,,,,,,,,,,FALSE,,Lax,12,6,Berry Juice,Impish,31,6,Berry Juice,Hasty,24,5,,,,,,,,,,,,
Bug Catcher Allen,FALSE,Route 102,Bug Catcher Allen - Route 102,Weedle,Poison Sting,,,,Wurmple,Tackle,,,,Metapod,Iron Defense,Tackle,,,Silcoon,Iron Defense,Poison Sting,Tackle,,,,,,,,,,,,FALSE,Choice Band,Hardy,31,7,Choice Band,Naughty,31,7,Sitrus Berry,Naughty,31,7,Sitrus Berry,Relaxed,31,7,,,,,,,,
Bird Keeper Billy,FALSE,Route 104 (South),Bird Keeper Billy - Route 104 (South),Pidgey,Quick Attack,Mud-Slap,Gust,Whirlwind,Wingull,Gust,Water Gun,Supersonic,Pursuit,Taillow,Quick Attack,Snore,Mud-Slap,Peck,,,,,,,,,,,,,,,,FALSE,Silk Scarf,Hardy,31,7,Mystic Water,Impish,18,7,Silk Scarf,Hardy,15,7,,,,,,,,,,,,
Fisherman Darian,FALSE,Route 104 (South),Fisherman Darian - Route 104 (South),Magikarp,Bounce,,,,Feebas,Water Pulse,Hypnosis,Icy Wind,Facade,Goldeen,Aerial Ace,Dive,Horn Attack,Rain Dance,Luvdisc,Sweet Kiss,Attract,Dive,Toxic,,,,,,,,,,,FALSE,Choice Band,Careful,31,9,Sitrus Berry,Hardy,31,8,,Hardy,24,7,,Quiet,12,7,,,,,,,,
Lady Cindy,FALSE,Route 104 (South),Lady Cindy - Route 104 (South),Cleffa,Metronome,,,,Pichu,Thunder Wave,Thundershock,Sweet Kiss,Thief,Azurill,Uproar,,,,,,,,,,,,,,,,,,,FALSE,Leppa Berry,Hardy,15,8,,Hardy,6,8,Choice Band,Sassy,3,7,,,,,,,,,,,,
Bug Maniac Lyle,FALSE,Petalburg Woods,Bug Maniac Lyle - Petalburg Woods,Spinarak,Night Shade,Spider Web,Baton Pass,Mega Drain,Ledyba,Baton Pass,Mach Punch,Gust,Supersonic,Venonat,Stun Spore,Psybeam,Baton Pass,Mega Drain,,,,,,,,,,,,,,,,FALSE,Berry Juice,Hasty,31,8,,Naive,31,8,,Timid,12,8,,,,,,,,,,,,
Bug Catcher James,FALSE,Petalburg Woods,Bug Catcher James - Petalburg Woods,Paras,Mega Drain,Spore,Aerial Ace,Secret Power,Surskit,Water Pulse,Mega Drain,Mud Shot,Psybeam,Nincada,Giga Drain,Aerial Ace,Dig,Snore,,,,,,,,,,,,,,,,FALSE,Silverpowder,Naive,31,9,,Gentle,31,8,Miracle Seed,Brave,31,9,,,,,,,,,,,,
Team Magma Grunt,FALSE,Petalburg Woods,Team Magma Grunt - Petalburg Woods,Magnemite,Thunder Wave,Thundershock,Tri Attack,Flash Cannon,Koffing,Toxic,Will-O-Wisp,Protect,Thief,Houndour,Pursuit,Ember,Super Fang,Toxic,Duskull,Will-O-Wisp,Shadow Sneak,Protect,Confuse Ray,Bagon,Twister,Ember,Bite,Headbutt,,,,,,FALSE,King'S Rock,Hardy,31,8,Lax Incense,Quiet,31,8,Scope Lens,Lonely,31,9,Leftovers,Careful,31,8,Scope Lens,Sassy,15,8,,,,
Rich Boy Winston,FALSE,Route 104 (North),Rich Boy Winston - Route 104 (North),Snubbull,Metronome,Pay Day,Bite,Mud-Slap,Growlithe,Ember,Swift,Bite,Rock Smash,Electrike,Thundershock,Bite,Quick Attack,Thunder Wave,,,,,,,,,,,,,,,,FALSE,Oran Berry,Adamant,18,8,Oran Berry,Calm,18,8,Oran Berry,Jolly,18,8,,,,,,,,,,,,
Lass Haley,FALSE,Route 104 (North),Lass Haley - Route 104 (North),Skitty,Assist,Attract,,,Oddish,Poisonpowder,Protect,Mega Drain,Acid,Vulpix,Quick Attack,Ember,Confuse Ray,Bite,,,,,,,,,,,,,,,,FALSE,,Lonely,24,9,,Hardy,18,9,,Hardy,18,9,,,,,,,,,,,,
Twins Gina & Mia,FALSE,Route 104 (North),Twins Gina & Mia - Route 104 (North),Smeargle,Reflect,Teeter Dance,Softboiled,Focus Punch,Smeargle,Light Screen,Follow Me,Milk Drink,,,,,,,,,,,,,,,,,,,,,,TRUE,,Quiet,31,8,,Hardy,31,8,,,,,,,,,,,,,,,,
